Date,AAPL,MSFT,AMZN,GOOGL,META,NVDA,TSLA,JPM,JNJ,V,PG,UNH,HD,MA,BAC,XOM,CVX,KO,PEP,DIS
2018-01-02,40.4794,79.6334,59.45,53.4782,181.42,4.92975,21.3687,93.387,121.984,108.942,79.0936,197.124,167.103,147.854,26.8054,65.3778,102.472,38.8446,102.044,108.73
2018-01-03,40.4725,80.0034,60.21,54.3789,184.67,5.25437,21.15,93.4803,123.16,110.008,78.9988,199.176,167.957,149.728,26.715,66.6634,103.204,38.7584,101.75,109.19
2018-01-04,40.6639,80.7087,60.482,54.6021,184.33,5.28232,20.9747,94.8185,123.15,110.42,79.5563,200.068,169.292,151.642,27.0636,66.7568,102.881,39.3055,102.269,109.15
2018-01-05,41.122,81.7089,61.457,55.314,186.85,5.32734,21.1053,94.1592,124.161,113.038,79.6085,203.896,171.048,154.792,27.1922,66.7013,102.707,39.2968,102.563,108.55
2018-01-08,40.9811,81.7918,62.3435,55.5093,188.28,5.48971,22.4273,94.339,124.318,113.507,80.0278,200.354,170.657,155.271,27.0036,67.0008,103.223,39.235,101.976,106.99
2018-01-09,40.9654,81.7372,62.635,55.4386,187.87,5.48811,22.246,94.8283,126.299,113.28,79.4438,201.341,171.589,155.5,27.1372,66.7159,102.657,39.4299,102.064,106.91
2018-01-10,40.9556,81.367,62.7165,55.3065,187.84,5.53164,22.32,95.8755,126.152,113.154,78.9377,199.831,170.44,155.85,27.3897,66.1868,103.331,39.2968,101.554,106.46
2018-01-11,41.1909,81.6072,63.834,55.4017,187.77,5.54163,22.53,96.3795,126.857,113.985,78.6565,200.915,172.991,156.866,27.4848,66.8393,106.47,39.2694,101.005,107.93
2018-01-12,41.6089,83.0177,65.26,56.3283,179.37,5.51408,22.4147,97.9691,127.72,114.228,78.1849,203.809,174.542,158.232,27.9621,67.2936,107.3,39.3643,101.466,109.37
2018-01-16,41.4048,81.8564,65.243,56.3308,178.39,5.44287,22.6707,97.6282,128.681,114.523,78.7176,207.6,174.434,158.192,28.0064,66.8725,106.012,39.6882,101.858,107.65
2018-01-17,42.0877,83.5158,64.75,56.7493,177.6,5.5573,23.144,98.2638,128.78,116.036,79.5731,212.519,177.574,160.186,27.9524,67.6631,106.306,39.9349,103.004,108.9
2018-01-18,42.1262,83.4788,64.666,56.5933,179.8,5.55063,22.9713,98.4898,128.74,117.121,79.2839,216.734,176.25,161.312,28.2214,67.2255,105.662,39.9877,102.897,107.39
2018-01-19,41.939,83.3858,64.729,56.9685,181.29,5.6903,23.3347,98.2835,129.113,116.721,80.0653,216.916,178.9,162.638,28.4346,67.0097,105.456,40.2255,103.858,107.56
2018-01-22,41.5933,84.8755,66.3655,57.9978,185.37,5.77888,23.4373,99.4235,129.789,118.244,80.7855,217.088,181.686,164.053,28.6358,67.8547,106.46,40.4125,105.025,108.04
2018-01-23,41.602,85.147,68.127,58.5961,189.35,5.90787,23.5193,99.3253,124.259,118.537,78.2886,218.577,182.079,162.977,28.6181,67.8935,105.223,40.4732,104.838,107.38
2018-01-24,40.9387,85.0748,67.8755,58.353,186.55,5.83112,23.0593,100.562,124.485,118.45,77.6384,218.265,183.246,162.807,28.7703,68.0706,105.535,40.7962,104.691,107.47
2018-01-25,40.2134,85.5446,68.8975,58.8935,187.48,5.84478,22.5093,100.592,126.504,119.084,77.665,218.549,182.511,164.353,28.7703,67.9461,104.939,40.8039,104.495,107.52
2018-01-26,40.3021,87.1493,70.1025,59.1635,190.0,6.01784,22.8567,101.162,127.338,120.14,77.1283,221.495,184.169,166.057,28.8646,68.4333,105.369,41.3931,105.231,109.11
2018-01-29,39.4702,87.0173,70.884,59.1098,185.98,6.10519,23.302,101.024,125.896,118.723,76.3657,220.516,182.098,164.323,28.9392,67.6709,103.174,40.6855,103.437,108.47
2018-01-30,39.2369,85.9244,71.891,58.6559,187.12,6.00265,23.0547,100.091,124.797,117.53,76.4407,210.944,179.341,162.977,28.5808,66.7237,100.59,40.4379,103.613,107.08
